start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.343,-6.23908,0
53.343,-6.23908,2021-05-01 00:00:01,53.343,-6.23881,27001
53.343,-6.23881,2021-05-01 07:30:02,53.3305,-6.26551,16200
53.3305,-6.26551,2021-05-01 12:00:02,53.3304,-6.26548,1802
53.3304,-6.26548,2021-05-01 12:30:04,53.3082,-6.25561,1798
53.3082,-6.25561,2021-05-01 13:00:02,53.3083,-6.25564,75600
53.3083,-6.25564,2021-05-02 10:00:02,53.3324,-6.21537,1800
53.3324,-6.21537,2021-05-02 10:30:02,53.3324,-6.21548,28800
53.3324,-6.21548,2021-05-02 18:30:02,53.3325,-6.21533,57600
53.3325,-6.21533,2021-05-03 10:30:02,53.3325,-6.21496,28800
53.3325,-6.21496,2021-05-03 18:30:02,53.3379,-6.23322,3600
53.3379,-6.23322,2021-05-03 19:30:02,53.338,-6.23322,28800
53.338,-6.23322,2021-05-04 03:30:02,53.3168,-6.21497,12607
53.3168,-6.21497,2021-05-04 07:00:09,53.3171,-6.21489,28793
53.3171,-6.21489,2021-05-04 15:00:02,53.3168,-6.21497,5409
53.3168,-6.21497,2021-05-04 16:30:11,53.3545,-6.26319,1793
53.3545,-6.26319,2021-05-04 17:00:04,53.3324,-6.27502,3603
53.3324,-6.27502,2021-05-04 18:00:07,53.3342,-6.2911,12599
53.3342,-6.2911,2021-05-04 21:30:06,53.3342,-6.29093,28796
53.3342,-6.29093,2021-05-05 05:30:02,53.3343,-6.29087,10800
53.3343,-6.29087,2021-05-05 08:30:02,53.3199,-6.26443,1800
53.3199,-6.26443,2021-05-05 09:00:02,53.3201,-6.26454,84600
53.3201,-6.26454,2021-05-06 08:30:02,53.3157,-6.20929,1802
53.3157,-6.20929,2021-05-06 09:00:04,53.3154,-6.20946,1798
53.3154,-6.20946,2021-05-06 09:30:02,53.3209,-6.25725,1800
53.3209,-6.25725,2021-05-06 10:00:02,53.321,-6.25728,9000
53.321,-6.25728,2021-05-06 12:30:02,53.3258,-6.28987,1800
