start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3505,-6.27916,0
53.3505,-6.27916,2021-05-01 00:00:01,53.3504,-6.2791,10801
53.3504,-6.2791,2021-05-01 03:00:02,53.3505,-6.27893,21604
53.3505,-6.27893,2021-05-01 09:00:06,53.3488,-6.25966,1799
53.3488,-6.25966,2021-05-01 09:30:05,53.3488,-6.25998,3597
53.3488,-6.25998,2021-05-01 10:30:02,53.3671,-6.17285,3600
53.3671,-6.17285,2021-05-01 11:30:02,53.3671,-6.17288,16200
53.3671,-6.17288,2021-05-01 16:00:02,53.341,-6.25047,1801
53.341,-6.25047,2021-05-01 16:30:03,53.3409,-6.25059,28799
53.3409,-6.25059,2021-05-02 00:30:02,53.3409,-6.25057,28800
53.3409,-6.25057,2021-05-02 08:30:02,53.3409,-6.25055,1800
53.3409,-6.25055,2021-05-02 09:00:02,53.3505,-6.25809,5400
53.3505,-6.25809,2021-05-02 10:30:02,53.3505,-6.25832,18000
53.3505,-6.25832,2021-05-02 15:30:02,53.3456,-6.26456,1800
53.3456,-6.26456,2021-05-02 16:00:02,53.3455,-6.26437,1800
53.3455,-6.26437,2021-05-02 16:30:02,53.3557,-6.25215,7200
53.3557,-6.25215,2021-05-02 18:30:02,53.3567,-6.23222,1806
53.3567,-6.23222,2021-05-02 19:00:08,53.3568,-6.23263,1796
53.3568,-6.23263,2021-05-02 19:30:04,53.3608,-6.26011,1798
53.3608,-6.26011,2021-05-02 20:00:02,53.3608,-6.26,7200
53.3608,-6.26,2021-05-02 22:00:02,53.3474,-6.28528,1800
53.3474,-6.28528,2021-05-02 22:30:02,53.3473,-6.28543,1800
53.3473,-6.28543,2021-05-02 23:00:02,53.3473,-6.28527,28800
53.3473,-6.28527,2021-05-03 07:00:02,53.3474,-6.28518,28800
53.3474,-6.28518,2021-05-03 15:00:02,53.3473,-6.28526,5403
53.3473,-6.28526,2021-05-03 16:30:05,53.3505,-6.26754,5397
53.3505,-6.26754,2021-05-03 18:00:02,53.3501,-6.26735,1800
53.3501,-6.26735,2021-05-03 18:30:02,53.3504,-6.26766,10799
53.3504,-6.26766,2021-05-03 21:30:01,53.3594,-6.25905,12601
53.3594,-6.25905,2021-05-04 01:00:02,53.3594,-6.25908,28800
53.3594,-6.25908,2021-05-04 09:00:02,53.3595,-6.25906,7200
53.3595,-6.25906,2021-05-04 11:00:02,53.3725,-6.16646,3612
53.3725,-6.16646,2021-05-04 12:00:14,53.3724,-6.16653,3588
53.3724,-6.16653,2021-05-04 13:00:02,53.3557,-6.26571,1803
53.3557,-6.26571,2021-05-04 13:30:05,53.3558,-6.26527,12599
53.3558,-6.26527,2021-05-04 17:00:04,53.3449,-6.29678,1801
53.3449,-6.29678,2021-05-04 17:30:05,53.3448,-6.29675,12597
53.3448,-6.29675,2021-05-04 21:00:02,53.3556,-6.26482,1804
53.3556,-6.26482,2021-05-04 21:30:06,53.3554,-6.26467,28796
