start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.363,-6.25876,0
53.363,-6.25876,2021-05-01 00:00:01,53.363,-6.25878,16208
53.363,-6.25878,2021-05-01 04:30:09,53.363,-6.25874,16197
53.363,-6.25874,2021-05-01 09:00:06,53.3622,-6.23732,1799
53.3622,-6.23732,2021-05-01 09:30:05,53.3706,-6.05502,3597
53.3706,-6.05502,2021-05-01 10:30:02,53.3706,-6.05501,28803
53.3706,-6.05501,2021-05-01 18:30:05,53.3706,-6.055,28797
53.3706,-6.055,2021-05-02 02:30:02,53.3706,-6.05498,28800
53.3706,-6.05498,2021-05-02 10:30:02,53.3706,-6.05496,18000
53.3706,-6.05496,2021-05-02 15:30:02,53.3513,-6.26344,5400
53.3513,-6.26344,2021-05-02 17:00:02,53.3511,-6.26356,1808
53.3511,-6.26356,2021-05-02 17:30:10,53.3459,-6.29326,1791
53.3459,-6.29326,2021-05-02 18:00:01,53.3459,-6.2933,18001
53.3459,-6.2933,2021-05-02 23:00:02,53.3534,-6.26437,1802
53.3534,-6.26437,2021-05-02 23:30:04,53.353,-6.26517,28798
53.353,-6.26517,2021-05-03 07:30:02,53.3531,-6.26475,28804
53.3531,-6.26475,2021-05-03 15:30:06,53.3531,-6.26469,7195
53.3531,-6.26469,2021-05-03 17:30:01,53.3531,-6.26479,1801
53.3531,-6.26479,2021-05-03 18:00:02,53.353,-6.26486,28800
53.353,-6.26486,2021-05-04 02:00:02,53.3375,-6.22824,30604
53.3375,-6.22824,2021-05-04 10:30:06,53.3349,-6.21342,17997
53.3349,-6.21342,2021-05-04 15:30:03,53.3349,-6.21346,1799
53.3349,-6.21346,2021-05-04 16:00:02,53.338,-6.23326,1809
53.338,-6.23326,2021-05-04 16:30:11,53.338,-6.23325,1793
53.338,-6.23325,2021-05-04 17:00:04,53.3385,-6.2369,3603
53.3385,-6.2369,2021-05-04 18:00:07,53.3385,-6.23688,28795
53.3385,-6.23688,2021-05-05 02:00:02,53.3373,-6.23595,28800
53.3373,-6.23595,2021-05-05 10:00:02,53.3385,-6.23683,28800
53.3385,-6.23683,2021-05-05 18:00:02,53.3339,-6.24464,7202
53.3339,-6.24464,2021-05-05 20:00:04,53.3338,-6.24474,28798
53.3338,-6.24474,2021-05-06 04:00:02,53.3336,-6.24501,28804
53.3336,-6.24501,2021-05-06 12:00:06,53.3338,-6.24465,28796
53.3338,-6.24465,2021-05-06 20:00:02,53.3338,-6.24478,7200
53.3338,-6.24478,2021-05-06 22:00:02,53.3474,-6.27885,1800
53.3474,-6.27885,2021-05-06 22:30:02,53.348,-6.27924,28801
53.348,-6.27924,2021-05-07 06:30:03,53.3477,-6.27932,14399
53.3477,-6.27932,2021-05-07 10:30:02,53.3392,-6.26599,1800
53.3392,-6.26599,2021-05-07 11:00:02,53.3392,-6.26585,23400
53.3392,-6.26585,2021-05-07 17:30:02,53.3406,-6.26425,7200
53.3406,-6.26425,2021-05-07 19:30:02,53.3407,-6.26412,9000
53.3407,-6.26412,2021-05-07 22:00:02,53.3288,-6.27583,1800
53.3288,-6.27583,2021-05-07 22:30:02,53.3288,-6.27581,28800
53.3288,-6.27581,2021-05-08 06:30:02,53.3093,-6.28338,27001
53.3093,-6.28338,2021-05-08 14:00:03,53.3092,-6.28341,1799
53.3092,-6.28341,2021-05-08 14:30:02,53.3224,-6.20632,1806
53.3224,-6.20632,2021-05-08 15:00:08,53.3224,-6.20634,28794
53.3224,-6.20634,2021-05-08 23:00:02,53.3224,-6.20635,28800
53.3224,-6.20635,2021-05-09 07:00:02,53.3224,-6.20633,28800
53.3224,-6.20633,2021-05-09 15:00:02,53.3224,-6.20632,28799
53.3224,-6.20632,2021-05-09 23:00:01,53.3224,-6.20627,52201
53.3224,-6.20627,2021-05-10 13:30:02,53.3248,-6.2536,1800
53.3248,-6.2536,2021-05-10 14:00:02,53.3246,-6.25355,5400
53.3246,-6.25355,2021-05-10 15:30:02,53.3209,-6.2113,1800
53.3209,-6.2113,2021-05-10 16:00:02,53.3209,-6.21131,28800
53.3209,-6.21131,2021-05-11 00:00:02,53.3209,-6.21132,28803
53.3209,-6.21132,2021-05-11 08:00:05,53.3209,-6.2113,14397
53.3209,-6.2113,2021-05-11 12:00:02,53.321,-6.21127,1801
53.321,-6.21127,2021-05-11 12:30:03,53.3419,-6.25307,1799
53.3419,-6.25307,2021-05-11 13:00:02,53.3455,-6.2652,16203
53.3455,-6.2652,2021-05-11 17:30:05,53.3452,-6.265,3597
53.3452,-6.265,2021-05-11 18:30:02,53.3431,-6.27308,3603
53.3431,-6.27308,2021-05-11 19:30:05,53.3432,-6.27322,28797
53.3432,-6.27322,2021-05-12 03:30:02,53.3548,-6.24441,21600
53.3548,-6.24441,2021-05-12 09:30:02,53.3547,-6.24435,12599
53.3547,-6.24435,2021-05-12 13:00:01,53.3414,-6.29092,1801
53.3414,-6.29092,2021-05-12 13:30:02,53.3416,-6.29105,68400
53.3416,-6.29105,2021-05-13 08:30:02,53.3548,-6.24415,1800
53.3548,-6.24415,2021-05-13 09:00:02,53.3549,-6.24427,1801
53.3549,-6.24427,2021-05-13 09:30:03,53.3342,-6.24472,1799
53.3342,-6.24472,2021-05-13 10:00:02,53.3342,-6.24475,1800
53.3342,-6.24475,2021-05-13 10:30:02,53.3342,-6.24482,21600
53.3342,-6.24482,2021-05-13 16:30:02,53.3425,-6.26314,1809
53.3425,-6.26314,2021-05-13 17:00:11,53.3416,-6.232,7191
53.3416,-6.232,2021-05-13 19:00:02,53.3416,-6.23198,28800
53.3416,-6.23198,2021-05-14 03:00:02,53.3595,-6.19827,16207
53.3595,-6.19827,2021-05-14 07:30:09,53.3594,-6.1983,3602
53.3594,-6.1983,2021-05-14 08:30:11,53.3592,-6.19612,3591
53.3592,-6.19612,2021-05-14 09:30:02,53.3593,-6.19604,21600
53.3593,-6.19604,2021-05-14 15:30:02,53.3458,-6.26769,1805
53.3458,-6.26769,2021-05-14 16:00:07,53.3486,-6.26851,57595
53.3486,-6.26851,2021-05-15 08:00:02,53.3486,-6.26852,28800
53.3486,-6.26852,2021-05-15 16:00:02,53.3486,-6.26854,57603
53.3486,-6.26854,2021-05-16 08:00:05,53.347,-6.26765,23397
53.347,-6.26765,2021-05-16 14:30:02,53.3474,-6.26827,25201
53.3474,-6.26827,2021-05-16 21:30:03,53.3472,-6.26835,28799
53.3472,-6.26835,2021-05-17 05:30:02,53.3488,-6.23717,5400
53.3488,-6.23717,2021-05-17 07:00:02,53.3487,-6.23726,9000
53.3487,-6.23726,2021-05-17 09:30:02,53.349,-6.26086,1800
53.349,-6.26086,2021-05-17 10:00:02,53.3515,-6.27932,1800
53.3515,-6.27932,2021-05-17 10:30:02,53.3438,-6.2666,1800
53.3438,-6.2666,2021-05-17 11:00:02,53.3441,-6.26673,5399
53.3441,-6.26673,2021-05-17 12:30:01,53.3406,-6.30985,1801
53.3406,-6.30985,2021-05-17 13:00:02,53.3406,-6.3098,10800
53.3406,-6.3098,2021-05-17 16:00:02,53.3483,-6.26333,1800
