start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3587,-6.18994,0
53.3587,-6.18994,2021-05-01 00:00:01,53.3588,-6.18995,10801
53.3588,-6.18995,2021-05-01 03:00:02,53.3588,-6.18997,36000
53.3588,-6.18997,2021-05-01 13:00:02,53.3595,-6.1983,5403
53.3595,-6.1983,2021-05-01 14:30:05,53.3594,-6.19832,1797
53.3594,-6.19832,2021-05-01 15:00:02,53.3539,-6.23053,19800
53.3539,-6.23053,2021-05-01 20:30:02,53.3538,-6.23081,28800
53.3538,-6.23081,2021-05-02 04:30:02,53.3538,-6.23068,25199
53.3538,-6.23068,2021-05-02 11:30:01,53.3482,-6.29633,1811
53.3482,-6.29633,2021-05-02 12:00:12,53.3483,-6.29502,5392
53.3483,-6.29502,2021-05-02 13:30:04,53.3485,-6.29608,5397
53.3485,-6.29608,2021-05-02 15:00:01,53.3482,-6.29635,1801
53.3482,-6.29635,2021-05-02 15:30:02,53.3458,-6.27005,1800
53.3458,-6.27005,2021-05-02 16:00:02,53.3459,-6.27007,3600
53.3459,-6.27007,2021-05-02 17:00:02,53.3402,-6.26204,1808
53.3402,-6.26204,2021-05-02 17:30:10,53.3589,-6.25427,3592
53.3589,-6.25427,2021-05-02 18:30:02,53.359,-6.25434,1806
53.359,-6.25434,2021-05-02 19:00:08,53.3511,-6.24972,1796
53.3511,-6.24972,2021-05-02 19:30:04,53.3505,-6.25016,28804
53.3505,-6.25016,2021-05-03 03:30:08,53.3509,-6.24968,28802
53.3509,-6.24968,2021-05-03 11:30:10,53.351,-6.24986,28792
53.351,-6.24986,2021-05-03 19:30:02,53.36,-6.26181,1800
53.36,-6.26181,2021-05-03 20:00:02,53.3598,-6.26186,28800
53.3598,-6.26186,2021-05-04 04:00:02,53.3511,-6.24972,9000
53.3511,-6.24972,2021-05-04 06:30:02,53.3509,-6.24985,18005
53.3509,-6.24985,2021-05-04 11:30:07,53.3599,-6.26181,1807
53.3599,-6.26181,2021-05-04 12:00:14,53.3599,-6.26192,7188
53.3599,-6.26192,2021-05-04 14:00:02,53.3622,-6.23714,1801
53.3622,-6.23714,2021-05-04 14:30:03,53.362,-6.23701,28799
53.362,-6.23701,2021-05-04 22:30:02,53.3622,-6.23732,28800
53.3622,-6.23732,2021-05-05 06:30:02,53.3622,-6.23746,28808
53.3622,-6.23746,2021-05-05 14:30:10,53.3622,-6.23715,7197
53.3622,-6.23715,2021-05-05 16:30:07,53.3423,-6.26244,1795
53.3423,-6.26244,2021-05-05 17:00:02,53.3423,-6.2625,1800
53.3423,-6.2625,2021-05-05 17:30:02,53.3447,-6.26852,3600
53.3447,-6.26852,2021-05-05 18:30:02,53.3441,-6.26864,28800
53.3441,-6.26864,2021-05-06 02:30:02,53.3447,-6.26875,27000
53.3447,-6.26875,2021-05-06 10:00:02,53.347,-6.31073,1800
53.347,-6.31073,2021-05-06 10:30:02,53.347,-6.31085,1807
53.347,-6.31085,2021-05-06 11:00:09,53.347,-6.31088,1793
53.347,-6.31088,2021-05-06 11:30:02,53.347,-6.31085,1804
53.347,-6.31085,2021-05-06 12:00:06,53.3491,-6.26072,1796
53.3491,-6.26072,2021-05-06 12:30:02,53.349,-6.26085,3600
53.349,-6.26085,2021-05-06 13:30:02,53.349,-6.26091,1800
53.349,-6.26091,2021-05-06 14:00:02,53.3489,-6.26079,3605
53.3489,-6.26079,2021-05-06 15:00:07,53.3421,-6.22769,1795
53.3421,-6.22769,2021-05-06 15:30:02,53.3429,-6.25566,3600
53.3429,-6.25566,2021-05-06 16:30:02,53.3221,-6.28482,18000
53.3221,-6.28482,2021-05-06 21:30:02,53.3221,-6.28496,28800
53.3221,-6.28496,2021-05-07 05:30:02,53.3221,-6.2848,14400
53.3221,-6.2848,2021-05-07 09:30:02,53.3424,-6.25146,1808
53.3424,-6.25146,2021-05-07 10:00:10,53.3424,-6.25175,57592
53.3424,-6.25175,2021-05-08 02:00:02,53.3423,-6.25183,57600
53.3423,-6.25183,2021-05-08 18:00:02,53.3424,-6.25186,28800
53.3424,-6.25186,2021-05-09 02:00:02,53.3324,-6.27436,57602
53.3324,-6.27436,2021-05-09 18:00:04,53.3381,-6.22258,1798
53.3381,-6.22258,2021-05-09 18:30:02,53.3379,-6.22302,10800
53.3379,-6.22302,2021-05-09 21:30:02,53.3318,-6.27889,3605
53.3318,-6.27889,2021-05-09 22:30:07,53.3317,-6.27878,28796
53.3317,-6.27878,2021-05-10 06:30:03,53.3448,-6.25215,10803
53.3448,-6.25215,2021-05-10 09:30:06,53.3447,-6.25192,10796
53.3447,-6.25192,2021-05-10 12:30:02,53.3446,-6.25205,7202
53.3446,-6.25205,2021-05-10 14:30:04,53.3588,-6.241,7204
53.3588,-6.241,2021-05-10 16:30:08,53.3452,-6.23145,1794
53.3452,-6.23145,2021-05-10 17:00:02,53.3447,-6.23151,5400
53.3447,-6.23151,2021-05-10 18:30:02,53.3473,-6.28381,1799
53.3473,-6.28381,2021-05-10 19:00:01,53.3472,-6.28386,5401
53.3472,-6.28386,2021-05-10 20:30:02,53.3472,-6.28392,3599
53.3472,-6.28392,2021-05-10 21:30:01,53.3471,-6.28375,28801
53.3471,-6.28375,2021-05-11 05:30:02,53.3471,-6.28382,5400
53.3471,-6.28382,2021-05-11 07:00:02,53.3511,-6.26351,1800
53.3511,-6.26351,2021-05-11 07:30:02,53.3344,-6.22485,1803
53.3344,-6.22485,2021-05-11 08:00:05,53.3344,-6.22482,25197
53.3344,-6.22482,2021-05-11 15:00:02,53.3444,-6.26012,1800
53.3444,-6.26012,2021-05-11 15:30:02,53.3444,-6.26006,1800
53.3444,-6.26006,2021-05-11 16:00:02,53.3394,-6.31994,1800
53.3394,-6.31994,2021-05-11 16:30:02,53.3394,-6.32004,48600
53.3394,-6.32004,2021-05-12 06:00:02,53.3284,-6.20868,1802
53.3284,-6.20868,2021-05-12 06:30:04,53.3402,-6.22369,1800
53.3402,-6.22369,2021-05-12 07:00:04,53.34,-6.22355,1798
53.34,-6.22355,2021-05-12 07:30:02,53.3647,-6.22992,1799
53.3647,-6.22992,2021-05-12 08:00:01,53.3209,-6.25732,1801
53.3209,-6.25732,2021-05-12 08:30:02,53.3469,-6.25948,27007
53.3469,-6.25948,2021-05-12 16:00:09,53.3463,-6.25933,28793
53.3463,-6.25933,2021-05-13 00:00:02,53.3466,-6.25924,28800
53.3466,-6.25924,2021-05-13 08:00:02,53.3461,-6.27918,3600
53.3461,-6.27918,2021-05-13 09:00:02,53.3371,-6.24434,9005
53.3371,-6.24434,2021-05-13 11:30:07,53.3411,-6.23599,3595
53.3411,-6.23599,2021-05-13 12:30:02,53.3406,-6.23628,9000
53.3406,-6.23628,2021-05-13 15:00:02,53.3406,-6.23651,1800
53.3406,-6.23651,2021-05-13 15:30:02,53.345,-6.26058,1800
53.345,-6.26058,2021-05-13 16:00:02,53.3544,-6.24958,7203
53.3544,-6.24958,2021-05-13 18:00:05,53.3544,-6.24952,1797
53.3544,-6.24952,2021-05-13 18:30:02,53.3543,-6.24958,3600
53.3543,-6.24958,2021-05-13 19:30:02,53.3543,-6.24944,1800
53.3543,-6.24944,2021-05-13 20:00:02,53.3544,-6.2495,28800
53.3544,-6.2495,2021-05-14 04:00:02,53.3561,-6.26109,5400
53.3561,-6.26109,2021-05-14 05:30:02,53.3563,-6.26162,10809
53.3563,-6.26162,2021-05-14 08:30:11,53.3423,-6.26227,1802
53.3423,-6.26227,2021-05-14 09:00:13,53.3423,-6.26252,28794
53.3423,-6.26252,2021-05-14 17:00:07,53.3435,-6.24955,17995
53.3435,-6.24955,2021-05-14 22:00:02,53.3435,-6.24998,28800
53.3435,-6.24998,2021-05-15 06:00:02,53.3437,-6.24976,27001
53.3437,-6.24976,2021-05-15 13:30:03,53.3314,-6.21578,3599
53.3314,-6.21578,2021-05-15 14:30:02,53.3448,-6.26281,1800
53.3448,-6.26281,2021-05-15 15:00:02,53.345,-6.26281,1800
53.345,-6.26281,2021-05-15 15:30:02,53.3445,-6.26318,57600
53.3445,-6.26318,2021-05-16 07:30:02,53.3449,-6.26281,28800
53.3449,-6.26281,2021-05-16 15:30:02,53.3911,-6.13695,5404
