53.3219,-6.28468,2021-05-14 17:30:06,53.3219,-6.28509,3596
53.3219,-6.28509,2021-05-14 18:30:02,53.3508,-6.24974,1803
53.3508,-6.24974,2021-05-14 19:00:05,53.3509,-6.24971,3597
53.3509,-6.24971,2021-05-14 20:00:02,53.3554,-6.24599,7200
53.3554,-6.24599,2021-05-14 22:00:02,53.3553,-6.24609,28800
53.3553,-6.24609,2021-05-15 06:00:02,53.3552,-6.2462,27001
53.3552,-6.2462,2021-05-15 13:30:03,53.3606,-6.18223,1799
53.3606,-6.18223,2021-05-15 14:00:02,53.3607,-6.18226,12599
53.3607,-6.18226,2021-05-15 17:30:01,53.3619,-6.21665,1808
53.3619,-6.21665,2021-05-15 18:00:09,53.37,-6.25947,7193
53.37,-6.25947,2021-05-15 20:00:02,53.37,-6.25981,28800
53.37,-6.25981,2021-05-16 04:00:02,53.3669,-6.25573,28803
53.3669,-6.25573,2021-05-16 12:00:05,53.3669,-6.2556,3600
53.3669,-6.2556,2021-05-16 13:00:05,53.3607,-6.18197,1800
53.3607,-6.18197,2021-05-16 13:30:05,53.3606,-6.18231,5396
53.3606,-6.18231,2021-05-16 15:00:01,53.3607,-6.18231,1801
53.3607,-6.18231,2021-05-16 15:30:02,53.349,-6.26045,1800
53.349,-6.26045,2021-05-16 16:00:02,53.3317,-6.27179,55800
53.3317,-6.27179,2021-05-17 07:30:02,53.3317,-6.27172,7200
53.3317,-6.27172,2021-05-17 09:30:02,53.3119,-6.27479,5400
53.3119,-6.27479,2021-05-17 11:00:02,53.3119,-6.27481,1800
53.3119,-6.27481,2021-05-17 11:30:02,53.3254,-6.25514,1800
53.3254,-6.25514,2021-05-17 12:00:02,53.3252,-6.25512,3600
53.3252,-6.25512,2021-05-17 13:00:02,53.3022,-6.17943,1800
53.3022,-6.17943,2021-05-17 13:30:02,53.2904,-6.19738,5400
53.2904,-6.19738,2021-05-17 15:00:02,53.2904,-6.19739,14401
53.2904,-6.19739,2021-05-17 19:00:03,53.2902,-6.19729,1804
53.2902,-6.19729,2021-05-17 19:30:07,53.3008,-6.18861,44995
