start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3134,-6.20551,0
53.3134,-6.20551,2021-05-01 00:00:01,53.3131,-6.20471,48603
53.3131,-6.20471,2021-05-01 13:30:04,53.3209,-6.2113,10799
53.3209,-6.2113,2021-05-01 16:30:03,53.3209,-6.21128,28799
53.3209,-6.21128,2021-05-02 00:30:02,53.3431,-6.26298,23400
53.3431,-6.26298,2021-05-02 07:00:02,53.3431,-6.26313,10800
53.3431,-6.26313,2021-05-02 10:00:02,53.2948,-6.13458,5399
53.2948,-6.13458,2021-05-02 11:30:01,53.2944,-6.13457,28803
53.2944,-6.13457,2021-05-02 19:30:04,53.2946,-6.13449,7200
53.2946,-6.13449,2021-05-02 21:30:04,53.291,-6.13312,1798
53.291,-6.13312,2021-05-02 22:00:02,53.2928,-6.13011,30600
53.2928,-6.13011,2021-05-04 06:30:02,53.2928,-6.13012,50400
53.2928,-6.13012,2021-05-04 20:30:02,53.2928,-6.13006,1800
53.2928,-6.13006,2021-05-04 21:00:02,53.2928,-6.13008,28803
53.2928,-6.13008,2021-05-05 05:00:05,53.2928,-6.13007,86397
53.2928,-6.13007,2021-05-06 05:00:02,53.2925,-6.12998,28800
53.2925,-6.12998,2021-05-06 13:00:02,53.2931,-6.13028,5404
53.2931,-6.13028,2021-05-06 14:30:06,53.2928,-6.13019,19796
53.2928,-6.13019,2021-05-06 20:00:02,53.2928,-6.13016,1800
53.2928,-6.13016,2021-05-06 20:30:02,53.3299,-6.26477,59399
53.3299,-6.26477,2021-05-12 13:00:01,53.3334,-6.24427,1801
53.3334,-6.24427,2021-05-12 13:30:02,53.3336,-6.24432,19800
53.3336,-6.24432,2021-05-12 19:00:02,53.346,-6.2627,1800
53.346,-6.2627,2021-05-12 19:30:02,53.346,-6.26268,28800
53.346,-6.26268,2021-05-13 03:30:02,53.3461,-6.2627,28805
53.3461,-6.2627,2021-05-13 11:30:07,53.3559,-6.25707,3595
53.3559,-6.25707,2021-05-13 12:30:02,53.3405,-6.26159,1800
53.3405,-6.26159,2021-05-13 13:00:02,53.3403,-6.26172,28802
53.3403,-6.26172,2021-05-13 21:00:04,53.34,-6.26218,28797
53.34,-6.26218,2021-05-14 05:00:01,53.3225,-6.26606,21601
53.3225,-6.26606,2021-05-14 11:00:02,53.3216,-6.27336,8999
53.3216,-6.27336,2021-05-14 13:30:01,53.3216,-6.26691,5401
53.3216,-6.26691,2021-05-14 15:00:02,53.32,-6.26457,5400
53.32,-6.26457,2021-05-14 16:30:02,53.3409,-6.24989,1805
53.3409,-6.24989,2021-05-14 17:00:07,53.3507,-6.28202,1799
53.3507,-6.28202,2021-05-14 17:30:06,53.3507,-6.2819,28796
53.3507,-6.2819,2021-05-15 01:30:02,53.3211,-6.25498,21600
53.3211,-6.25498,2021-05-15 07:30:02,53.3208,-6.2655,23400
53.3208,-6.2655,2021-05-15 14:00:02,53.3207,-6.26554,1800
53.3207,-6.26554,2021-05-15 14:30:02,53.3521,-6.26143,1800
53.3521,-6.26143,2021-05-15 15:00:02,53.3525,-6.25397,7203
53.3525,-6.25397,2021-05-15 17:00:05,53.3521,-6.25368,3604
53.3521,-6.25368,2021-05-15 18:00:09,53.3514,-6.25134,1793
53.3514,-6.25134,2021-05-15 18:30:02,53.3512,-6.25114,3600
53.3512,-6.25114,2021-05-15 19:30:02,53.3512,-6.25116,3600
53.3512,-6.25116,2021-05-15 20:30:02,53.3615,-6.29846,1800
53.3615,-6.29846,2021-05-15 21:00:02,53.3614,-6.29861,28800
53.3614,-6.29861,2021-05-16 05:00:02,53.3707,-6.32424,14400
53.3707,-6.32424,2021-05-16 09:00:02,53.3707,-6.3243,34200
53.3707,-6.3243,2021-05-16 18:30:02,53.3607,-6.30018,1801
53.3607,-6.30018,2021-05-16 19:00:03,53.3707,-6.32425,50399
53.3707,-6.32425,2021-05-17 09:00:02,53.3708,-6.32425,28805
53.3708,-6.32425,2021-05-17 17:00:07,53.3809,-6.24573,1795
53.3809,-6.24573,2021-05-17 17:30:02,53.3808,-6.24566,1804
53.3808,-6.24566,2021-05-17 18:00:06,53.3633,-6.23337,1800
53.3633,-6.23337,2021-05-17 18:30:06,53.3633,-6.23327,3601
53.3633,-6.23327,2021-05-17 19:30:07,53.3503,-6.26696,1795
53.3503,-6.26696,2021-05-17 20:00:02,53.3361,-6.29893,1799
53.3361,-6.29893,2021-05-17 20:30:01,53.3362,-6.29904,28803
53.3362,-6.29904,2021-05-18 04:30:04,53.3362,-6.29895,21598
53.3362,-6.29895,2021-05-18 10:30:02,53.3122,-6.27441,1800
53.3122,-6.27441,2021-05-18 11:00:02,53.3288,-6.27587,10800
