start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3406,-6.28257,0
53.3406,-6.28257,2021-05-01 00:00:01,53.3407,-6.28254,18001
53.3407,-6.28254,2021-05-01 05:00:02,53.3248,-6.24054,19800
53.3248,-6.24054,2021-05-01 10:30:02,53.343,-6.26255,30603
53.343,-6.26255,2021-05-01 19:00:05,53.343,-6.2626,1800
53.343,-6.2626,2021-05-01 19:30:05,53.3324,-6.26653,1796
53.3324,-6.26653,2021-05-01 20:00:01,53.3324,-6.26695,28801
53.3324,-6.26695,2021-05-02 04:00:02,53.3485,-6.26411,12600
53.3485,-6.26411,2021-05-02 07:30:02,53.3485,-6.2642,10800
53.3485,-6.2642,2021-05-02 10:30:02,53.3759,-6.24423,1803
53.3759,-6.24423,2021-05-02 11:00:05,53.3763,-6.24378,28803
53.3763,-6.24378,2021-05-02 19:00:08,53.3762,-6.24422,28797
53.3762,-6.24422,2021-05-03 03:00:05,53.3761,-6.24419,14397
53.3761,-6.24419,2021-05-03 07:00:02,53.3482,-6.26375,1800
53.3482,-6.26375,2021-05-03 07:30:02,53.3483,-6.26455,28804
53.3483,-6.26455,2021-05-03 15:30:06,53.3484,-6.26411,57595
53.3484,-6.26411,2021-05-04 07:30:01,53.3482,-6.26405,14406
53.3482,-6.26405,2021-05-04 11:30:07,53.3492,-6.26335,3599
53.3492,-6.26335,2021-05-04 12:30:06,53.3401,-6.22359,12596
53.3401,-6.22359,2021-05-04 16:00:02,53.3401,-6.22365,57600
53.3401,-6.22365,2021-05-05 08:00:02,53.3362,-6.25569,3600
53.3362,-6.25569,2021-05-05 09:00:02,53.3363,-6.25589,28800
53.3363,-6.25589,2021-05-05 17:00:02,53.3362,-6.25589,28800
53.3362,-6.25589,2021-05-06 01:00:02,53.3362,-6.25578,28802
53.3362,-6.25578,2021-05-06 09:00:04,53.3363,-6.25554,28799
53.3363,-6.25554,2021-05-06 17:00:03,53.3359,-6.22054,5405
53.3359,-6.22054,2021-05-06 18:30:08,53.3359,-6.22017,16194
53.3359,-6.22017,2021-05-06 23:00:02,53.3501,-6.23176,1800
53.3501,-6.23176,2021-05-06 23:30:02,53.35,-6.23204,25201
53.35,-6.23204,2021-05-07 06:30:03,53.3612,-6.28532,1798
53.3612,-6.28532,2021-05-07 07:00:01,53.348,-6.26087,12601
53.348,-6.26087,2021-05-07 10:30:02,53.3484,-6.2608,7200
53.3484,-6.2608,2021-05-07 12:30:02,53.3932,-6.39166,9000
53.3932,-6.39166,2021-05-07 15:00:02,53.3932,-6.39164,5407
53.3932,-6.39164,2021-05-07 16:30:09,53.3904,-6.40459,12594
53.3904,-6.40459,2021-05-07 20:00:03,53.3903,-6.40465,59400
53.3903,-6.40465,2021-05-11 12:30:03,53.3904,-6.40458,28799
53.3904,-6.40458,2021-05-11 20:30:02,53.3904,-6.40459,7200
53.3904,-6.40459,2021-05-11 22:30:02,53.3863,-6.37634,46805
53.3863,-6.37634,2021-05-12 11:30:07,53.3861,-6.37574,5395
53.3861,-6.37574,2021-05-15 13:00:02,53.3729,-6.36271,19800
53.3729,-6.36271,2021-05-15 18:30:02,53.3729,-6.3628,46800
53.3729,-6.3628,2021-05-16 07:30:02,53.3926,-6.38749,1803
53.3926,-6.38749,2021-05-16 08:00:05,53.3927,-6.38734,28797
53.3927,-6.38734,2021-05-16 16:00:02,53.3926,-6.38729,28806
53.3926,-6.38729,2021-05-17 00:00:08,53.3927,-6.38736,28794
53.3927,-6.38736,2021-05-17 08:00:02,53.3927,-6.38734,57600
