start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3197,-6.29074,39601
53.3197,-6.29074,2021-05-14 11:00:02,53.3197,-6.29075,16200
53.3197,-6.29075,2021-05-14 15:30:02,53.3216,-6.2864,7204
53.3216,-6.2864,2021-05-14 17:30:06,53.3421,-6.23893,3596
53.3421,-6.23893,2021-05-14 18:30:02,53.3422,-6.23886,5400
53.3422,-6.23886,2021-05-14 20:00:02,53.3343,-6.24862,1800
53.3343,-6.24862,2021-05-14 20:30:02,53.3343,-6.24858,5400
53.3343,-6.24858,2021-05-14 22:00:02,53.3344,-6.24861,23400
53.3344,-6.24861,2021-05-15 04:30:02,53.3343,-6.24865,27000
53.3343,-6.24865,2021-05-15 12:00:02,53.3125,-6.28241,1805
53.3125,-6.28241,2021-05-15 12:30:07,53.3126,-6.28226,3596
53.3126,-6.28226,2021-05-15 13:30:03,53.3126,-6.28249,1799
53.3126,-6.28249,2021-05-15 14:00:02,53.3501,-6.27439,1800
53.3501,-6.27439,2021-05-15 14:30:02,53.35,-6.27441,3600
53.35,-6.27441,2021-05-15 15:30:02,53.3497,-6.27787,5403
53.3497,-6.27787,2021-05-15 17:00:05,53.3497,-6.27786,28797
53.3497,-6.27786,2021-05-16 01:00:02,53.3497,-6.27787,28800
53.3497,-6.27787,2021-05-16 09:00:02,53.3497,-6.27795,12600
53.3497,-6.27795,2021-05-16 12:30:02,53.3697,-6.34877,3603
53.3697,-6.34877,2021-05-16 13:30:05,53.3756,-6.33265,25196
53.3756,-6.33265,2021-05-17 20:30:01,53.3756,-6.33268,37806
53.3756,-6.33268,2021-05-18 07:00:07,53.3393,-6.24117,1801
53.3393,-6.24117,2021-05-18 07:30:08,53.3709,-6.23854,7193
