start_lat,start_long,time_since_last_journey,end_lat,end_long,time_at_current_location
0,0,2021-05-01 00:00:01,53.3641,-6.1958,0
53.3641,-6.1958,2021-05-01 00:00:01,53.3638,-6.19571,68404
53.3638,-6.19571,2021-05-01 19:00:05,53.3305,-6.2655,70207
53.3305,-6.2655,2021-05-02 14:30:12,53.3304,-6.26546,7190
53.3304,-6.26546,2021-05-02 16:30:02,53.3472,-6.25827,7200
53.3472,-6.25827,2021-05-02 18:30:02,53.3472,-6.25892,28800
53.3472,-6.25892,2021-05-03 02:30:02,53.347,-6.2583,28800
53.347,-6.2583,2021-05-03 10:30:02,53.3609,-6.2602,7200
53.3609,-6.2602,2021-05-03 12:30:02,53.3609,-6.26018,7199
53.3609,-6.26018,2021-05-03 14:30:01,53.3595,-6.25912,21601
53.3595,-6.25912,2021-05-03 20:30:02,53.3594,-6.25909,28800
53.3594,-6.25909,2021-05-04 04:30:02,53.3505,-6.24062,1800
53.3505,-6.24062,2021-05-04 05:00:02,53.3368,-6.23593,14400
53.3368,-6.23593,2021-05-04 09:00:02,53.332,-6.26461,14400
53.332,-6.26461,2021-05-05 13:00:02,53.3321,-6.26461,9000
53.3321,-6.26461,2021-05-05 15:30:02,53.332,-6.26464,46800
53.332,-6.26464,2021-05-06 04:30:02,53.3537,-6.23042,1800
53.3537,-6.23042,2021-05-06 05:00:02,53.3539,-6.23056,21607
53.3539,-6.23056,2021-05-06 11:00:09,53.3321,-6.26468,1793
53.3321,-6.26468,2021-05-06 11:30:02,53.3321,-6.26474,7200
53.3321,-6.26474,2021-05-06 13:30:02,53.3398,-6.31533,1800
53.3398,-6.31533,2021-05-06 14:00:02,53.3289,-6.27588,7199
53.3289,-6.27588,2021-05-06 16:00:01,53.3435,-6.28627,5401
53.3435,-6.28627,2021-05-06 17:30:02,53.3435,-6.28634,28800
53.3435,-6.28634,2021-05-07 01:30:02,53.3435,-6.28628,55800
53.3435,-6.28628,2021-05-07 17:00:02,53.3391,-6.24682,1800
53.3391,-6.24682,2021-05-07 17:30:02,53.3393,-6.24633,5400
53.3393,-6.24633,2021-05-07 19:00:02,53.3394,-6.24663,1800
53.3394,-6.24663,2021-05-07 19:30:02,53.3401,-6.23925,1801
53.3401,-6.23925,2021-05-07 20:00:03,53.3401,-6.23928,55803
53.3401,-6.23928,2021-05-08 11:30:06,53.3472,-6.24123,1802
53.3472,-6.24123,2021-05-08 12:00:08,53.3377,-6.24101,25195
53.3377,-6.24101,2021-05-08 19:00:03,53.3304,-6.26553,3599
53.3304,-6.26553,2021-05-08 20:00:02,53.3303,-6.26592,57600
53.3303,-6.26592,2021-05-09 12:00:02,53.3394,-6.24659,14399
53.3394,-6.24659,2021-05-09 16:00:01,53.3327,-6.21587,1802
53.3327,-6.21587,2021-05-09 16:30:03,53.3208,-6.2745,10807
53.3208,-6.2745,2021-05-09 19:30:10,53.3333,-6.24939,5396
53.3333,-6.24939,2021-05-09 21:00:06,53.3332,-6.24923,37796
53.3332,-6.24923,2021-05-10 07:30:02,53.2894,-6.12514,1800
53.2894,-6.12514,2021-05-10 08:00:02,53.2886,-6.11424,1800
53.2886,-6.11424,2021-05-10 08:30:02,53.2886,-6.11427,28806
53.2886,-6.11427,2021-05-10 16:30:08,53.2886,-6.11429,71995
53.2886,-6.11429,2021-05-11 12:30:03,53.2937,-6.15175,1799
53.2937,-6.15175,2021-05-11 13:00:02,53.2938,-6.15197,66607
53.2938,-6.15197,2021-05-13 07:30:09,53.3478,-6.27502,1793
53.3478,-6.27502,2021-05-13 08:00:02,53.3408,-6.25561,21600
53.3408,-6.25561,2021-05-13 14:00:02,53.3409,-6.25548,9000
53.3409,-6.25548,2021-05-13 16:30:02,53.3417,-6.22644,1809
53.3417,-6.22644,2021-05-13 17:00:11,53.3562,-6.24482,5391
53.3562,-6.24482,2021-05-13 18:30:02,53.3477,-6.27876,1800
53.3477,-6.27876,2021-05-13 19:00:02,53.3477,-6.27879,28800
53.3477,-6.27879,2021-05-14 03:00:02,53.3478,-6.2788,28800
53.3478,-6.2788,2021-05-14 11:00:02,53.3477,-6.27882,8999
53.3477,-6.27882,2021-05-14 13:30:01,53.3408,-6.25522,1801
53.3408,-6.25522,2021-05-14 14:00:02,53.3334,-6.24372,10805
53.3334,-6.24372,2021-05-14 17:00:07,53.3333,-6.24395,28800
53.3333,-6.24395,2021-05-15 01:00:07,53.3334,-6.24407,28795
53.3334,-6.24407,2021-05-15 09:00:02,53.3335,-6.24392,21600
53.3335,-6.24392,2021-05-15 15:00:02,53.3566,-6.23213,1800
53.3566,-6.23213,2021-05-15 15:30:02,53.3612,-6.24314,3600
53.3612,-6.24314,2021-05-15 16:30:02,53.3612,-6.24292,14400
53.3612,-6.24292,2021-05-15 20:30:02,53.3633,-6.24377,1800
53.3633,-6.24377,2021-05-15 21:00:02,53.3689,-6.20168,27002
53.3689,-6.20168,2021-05-16 04:30:04,53.3689,-6.20176,28798
53.3689,-6.20176,2021-05-16 12:30:02,53.3689,-6.20173,28800
53.3689,-6.20173,2021-05-16 20:30:02,53.3689,-6.20159,28800
53.3689,-6.20159,2021-05-17 04:30:02,53.3691,-6.20181,12600
53.3691,-6.20181,2021-05-17 08:00:02,53.3688,-6.20158,27001
53.3688,-6.20158,2021-05-17 15:30:03,53.369,-6.20178,28799
53.369,-6.20178,2021-05-17 23:30:02,53.3689,-6.20175,28806
53.3689,-6.20175,2021-05-18 07:30:08,53.3689,-6.20179,19794
